#   Main movement is in Y, with occasional bumps in Z.
# T      P           R         V               AV       NAME
1.0, 100,100.0,100, 0,0,0,1, 0.0,1.1,0.0,  0.0,1.0,0.0, regionname
1.1, 100,100.1,100, 0,0,0,1, 0.0,1.2,0.0,  0.0,1.0,0.0, regionname
1.2, 100,100.2,100, 0,0,0,1, 0.0,1.1,0.0,  0.0,1.0,0.0, regionname
1.3, 100,100.3,100, 0,0,0,1, 0.0,1.1,0.0,  0.0,1.0,0.0, regionname
#   Bump in Z of 0.5m
1.4, 100,100.4,100.5, 0,0,0,1, 0.1,1.1,0.5,  0.0,1.0,0.0, regionname
1.5, 100,100.7,100, 0,0,0,1, 0.0,1.1,-0.5,  0.0,1.0,0.0, regionname
2.0, 100,101.2,100, 0,0,0,1, 0.0,1.1,0.0,  0.0,1.0,0.0, regionname
2.1, 100,101.3,100, 0,0,0,1, 0.0,1.1,0.0,  0.0,1.0,0.0, regionname
#   Bigger bump in Z, 1.0m.
2.2, 100,101.4,101, 0,0,0,1, 0.0,1.1,1.0,    0.0,1.0,0.0, regionname
2.3, 100,101.5,100, 0,0,0,1, 0.0,1.1,-1.0,   0.0,1.0,0.0, regionname
#   Return to flatness
2.4, 100,101.6,100, 0,0,0,1, 0.0,1.1,0.0,   0.0,1.0,0.0, regionname
2.5, 100,101.7,100, 0,0,0,1, 0.0,1.1,0.0,   0.0,1.0,0.0, regionname
2.6, 100,101.8,100, 0,0,0,1, 0.0,1.1,0.0,   0.0,1.0,0.0, regionname
#   Bigger bump again, but with larger dT
2.7, 100,101.8,101, 0,0,0,1, 0.0,1.1,1.0,    0.0,1.0,0.0, regionname
3.7, 100,102.8,100, 0,0,0,1, 0.0,1.1,-1.0,   0.0,1.0,0.0, regionname
#   Return to flatness
3.8, 100,102.9,100, 0,0,0,1, 0.0,1.1,0.0,   0.0,1.0,0.0, regionname
3.9, 100,103.0,100, 0,0,0,1, 0.0,1.1,0.0,   0.0,1.0,0.0, regionname
4.0, 100,103.1,100, 0,0,0,1, 0.0,1.1,0.0,   0.0,1.0,0.0, regionname

